## Master file format version 1.0           2001.08.21 CCT&NRV

                         2022 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - February 18, 2022 - CCT

  SESSION      SESSION DATE  DOY TIME  DUR       STATIONS                            SKED CORR STATUS  PF  DBC SUBM  DEL  MK4
    NAME         CODE  mondd ddd hh:mm hr                                                      yymondd    CODE      days  NUM 
------------------------------------------------------------------------------------------------------------------------------
|IN222-002     |Q22002|JAN02|  2|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
|SI22-003      |Z22003|JAN03|  3|06:30|1.0|HbHtYg                                   |DACH|UTAS|       |    |XH|VIEN|   0|    |
|IN322-003     |Q22003|JAN03|  3|07:00|1.0|IsNsNyWnWz                               |DACH|BONN|       |    |XK|NASA|   0|    |
|IN122-003     |I22003|JAN03|  3|18:30|1.0|IsWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22003    |V22003|JAN03|  3|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-004     |I22004|JAN04|  4|18:30|1.0|MkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22004    |V22004|JAN04|  4|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VG222-004     |S22004|JAN04|  4|19:45|1.0|MgWs                                     |DACH|WETZ|       |    |VJ|NASA|   0|    |
|VG222-004A    |S2004A|JAN04|  4|21:05|0.2|MgWs                                     |NASA|WETZ|       |    |VT|NASA|   0|    |
|IN122-005     |I22005|JAN05|  5|18:30|1.0|IsNy                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN122-006     |I22006|JAN06|  6|18:30|1.0|IsNy                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN122-007     |I22007|JAN07|  7|18:45|1.0|MkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22007    |V22007|JAN07|  7|18:45|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN222-008     |Q22008|JAN08|  8|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
|IN222-009     |Q22009|JAN09|  9|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
|SI22-010      |Z22010|JAN10| 10|06:30|1.0|HbHtYg                                   |DACH|UTAS|       |    |XH|VIEN|   0|    |
|IN322-010     |Q22010|JAN10| 10|07:00|1.0|IsNsNyWnWz                               |DACH|BONN|       |    |XK|NASA|   0|    |
|IN122-010     |I22010|JAN10| 10|18:30|1.0|IsWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22010    |V22010|JAN10| 10|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-011     |I22011|JAN11| 11|18:30|1.0|MkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22011    |V22011|JAN11| 11|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VG222-011     |S22011|JAN11| 11|19:45|1.0|MgWs                                     |DACH|WETZ|       |    |VJ|NASA|   0|    |
|VG222-011A    |S2011A|JAN11| 11|21:05|0.2|MgWs                                     |NASA|WETZ|       |    |VT|NASA|   0|    |
|IN122-012     |I22012|JAN12| 12|18:30|1.0|IsWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22012    |V22012|JAN12| 12|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-013     |I22013|JAN13| 13|18:30|1.0|IsWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22013    |V22013|JAN13| 13|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN122-014     |I22014|JAN14| 14|18:45|1.0|MkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-22014    |V22014|JAN14| 14|18:45|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN222-015     |Q22015|JAN15| 15|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
|IN222-016     |Q22016|JAN16| 16|07:30|1.0|IsMkWz                                   |DACH|GSI |       |    |XK|GSI |   0|    |
|SI22-017      |Z22017|JAN17| 17|06:30|1.0|HbHtYg                                   |DACH|UTAS|       |    |XH|VIEN|   0|    |
|IN322-017     |Q22017|JAN17| 17|07:00|1.0|IsNsNyWnWz                               |DACH|BONN|       |    |XK|NASA|   0|    |
